t,T_e,T_p
-10.0,300.0,300.0
-9.8989898989899,300.0,300.0
-9.797979797979798,300.0,300.0
-9.696969696969697,300.0,300.0
-9.595959595959595,300.0,300.0
-9.494949494949495,300.0,300.0
-9.393939393939394,300.0,300.0
-9.292929292929292,300.0,300.0
-9.191919191919192,300.0,300.0
-9.090909090909092,300.0,300.0
-8.98989898989899,300.0,300.0
-8.88888888888889,300.0,300.0
-8.787878787878787,300.0,300.0
-8.686868686868687,300.0,300.0
-8.585858585858587,300.0,300.0
-8.484848484848484,300.0,300.0
-8.383838383838384,300.0,300.0
-8.282828282828282,300.0,300.0
-8.181818181818182,300.0,300.0
-8.080808080808081,300.0,300.0
-7.97979797979798,300.0,300.0
-7.878787878787879,300.0,300.0
-7.777777777777778,300.0,300.0
-7.6767676767676765,300.0,300.0
-7.575757575757576,300.0,300.0
-7.474747474747475,300.0,300.0
-7.373737373737374,300.0,300.0
-7.2727272727272725,300.0,300.0
-7.171717171717172,300.0,300.0
-7.070707070707071,300.0,300.0
-6.96969696969697,300.0,300.0
-6.8686868686868685,300.0,300.0
-6.767676767676767,300.0,300.0
-6.666666666666667,300.0,300.0
-6.565656565656566,300.0,300.0
-6.4646464646464645,300.0,300.0
-6.363636363636363,300.0,300.0
-6.262626262626263,300.0,300.0
-6.161616161616162,300.0,300.0
-6.0606060606060606,300.0,300.0
-5.959595959595959,300.0,300.0
-5.858585858585859,300.0,300.0
-5.757575757575758,300.0,300.0
-5.656565656565657,300.0,300.0
-5.555555555555555,300.0,300.0
-5.454545454545454,300.0,300.0
-5.353535353535354,300.0,300.0
-5.252525252525253,300.0,300.0
-5.151515151515151,300.0,300.0
-5.05050505050505,300.0,300.0
-4.94949494949495,300.0,300.0
-4.848484848484849,300.0,300.0
-4.747474747474747,300.0,300.0
-4.646464646464646,300.0,300.0
-4.545454545454546,300.0,300.0
-4.444444444444445,300.0,300.0
-4.343434343434343,300.0,300.0
-4.242424242424242,300.0,300.0
-4.141414141414141,300.0,300.0
-4.040404040404041,300.0,300.0
-3.9393939393939394,300.0,300.0
-3.8383838383838382,300.0,300.0
-3.7373737373737375,300.0,300.0
-3.6363636363636362,300.0,300.0
-3.5353535353535355,300.0,300.0
-3.4343434343434343,300.0,300.0
-3.3333333333333335,300.0,300.0
-3.2323232323232323,300.0,300.0
-3.1313131313131315,300.0,300.0
-3.0303030303030303,300.0,300.0
-2.9292929292929295,300.0,300.0
-2.8282828282828283,300.0,300.0
-2.727272727272727,300.0,300.0
-2.6262626262626263,300.0,300.0
-2.525252525252525,300.0,300.0
-2.4242424242424243,300.0,300.0
-2.323232323232323,300.0,300.0
-2.2222222222222223,300.0,300.0
-2.121212121212121,300.0,300.0
-2.0202020202020203,300.0,300.0
-1.9191919191919191,300.0,300.0
-1.8181818181818181,300.0,300.0
-1.7171717171717171,300.0,300.0
-1.6161616161616161,300.0,300.0
-1.5151515151515151,300.0,300.0
-1.4141414141414141,300.0,300.0
-1.3131313131313131,300.0,300.0
-1.2121212121212122,300.0,300.0
-1.1111111111111112,300.0,300.0
-1.0101010101010102,300.0,300.0
-0.9090909090909091,300.0,300.0
-0.8080808080808081,300.0,300.0
-0.7070707070707071,300.0,300.0
-0.6060606060606061,300.00000000000006,300.0
-0.5050505050505051,299.99999999975086,300.0
-0.40404040404040403,299.9999991928825,300.00000000000546
-0.30303030303030304,300.0002539003079,300.00000000990934
-0.20202020202020202,300.16097171621595,300.00000244616155
-0.10101010101010101,306.3662488638836,300.0001398895285
0.0,340.26386331555733,300.00162131416323
0.10101010101010101,371.06598959715944,300.0057554976968
0.20202020202020202,376.0379812353985,300.0110449814757
0.30303030303030304,376.1213969423995,300.01643973708684
0.40404040404040403,376.0710434041387,300.0218324211701
0.5050505050505051,376.01999529190897,300.02722111436015
0.6060606060606061,375.96897600138465,300.0326058082656
0.7070707070707071,375.91798766418106,300.037986505254
0.8080808080808081,375.8670302697898,300.0433632078023
0.9090909090909091,375.81610380732633,300.04873591838646
1.0101010101010102,375.7652082659018,300.0541046394816
1.1111111111111112,375.71434363462237,300.05946937356174
1.2121212121212122,375.6635099025905,300.0648301231002
1.3131313131313131,375.6127070589033,300.0701868905692
1.4141414141414141,375.5619350926534,300.07553967843995
1.5151515151515151,375.51119399292895,300.0808884891829
1.6161616161616161,375.4604837488138,300.08623332526736
1.7171717171717171,375.4098043493872,300.09157418916186
1.8181818181818181,375.3591557837239,300.0969110833338
1.9191919191919191,375.30853804089446,300.10224401024976
2.0202020202020203,375.2579511099648,300.10757297237535
2.121212121212121,375.20739497705193,300.11289797241284
2.2222222222222223,375.1568696333035,300.1182190126611
2.323232323232323,375.10637506923496,300.1235360954649
2.4242424242424243,375.0559112738598,300.12884922328834
2.525252525252525,375.00547823618786,300.1341583985947
2.6262626262626263,374.9550759452252,300.139463623846
2.727272727272727,374.90470438997465,300.14476490150327
2.8282828282828283,374.85436355943546,300.1500622340267
2.9292929292929295,374.8040534426033,300.15535562387544
3.0303030303030303,374.7537740284702,300.16064507350745
3.1313131313131315,374.703525306025,300.16593058538007
3.2323232323232323,374.6533072642527,300.1712121619491
3.3333333333333335,374.60311989213494,300.17648980566986
3.4343434343434343,374.55296317864986,300.1817635189964
3.5353535353535355,374.5028371127719,300.1870333043817
3.6363636363636362,374.45274168347214,300.192299164278
3.7373737373737375,374.4026768797182,300.19756110113633
3.8383838383838382,374.3526426904739,300.20281911740676
3.9393939393939394,374.3026391046999,300.2080732155383
4.040404040404041,374.2526661113531,300.21332339797925
4.141414141414141,374.20272369938687,300.2185696671765
4.242424242424242,374.15281185775115,300.22381202557625
4.343434343434343,374.10293057539235,300.22905047562347
4.444444444444445,374.0530798412533,300.2342850197622
4.545454545454546,374.0032596442735,300.2395156604357
4.646464646464646,373.9534699733887,300.2447424000859
4.747474747474747,373.9037108175311,300.2499652411539
4.848484848484849,373.8539821656296,300.25518418607976
4.94949494949495,373.8042840066094,300.2603992373025
5.05050505050505,373.7546163293924,300.2656103972603
5.151515151515151,373.7049791228966,300.2708176683901
5.252525252525253,373.65537237603695,300.2760210531281
5.353535353535354,373.60579607772445,300.2812205539092
5.454545454545454,373.55625021686683,300.2864161731675
5.555555555555555,373.50673478236826,300.29160791333607
5.656565656565657,373.4572497631293,300.296795776847
5.757575757575758,373.4077951480471,300.30197976613124
5.858585858585859,373.35837092601525,300.3071598836189
5.959595959595959,373.30897708592374,300.312336131739
6.0606060606060606,373.2596136166592,300.3175085129197
6.161616161616162,373.21028050710464,300.32267702958785
6.262626262626263,373.16097774613945,300.3278416841695
6.363636363636363,373.1117053226397,300.3330024790898
6.4646464646464645,373.0624632254778,300.3381594167728
6.565656565656566,373.0132514435228,300.34331249964146
6.666666666666667,372.9640699656399,300.3484617301178
6.767676767676767,372.91491878069127,300.3536071106228
6.8686868686868685,372.86579787753504,300.35874864357663
6.96969696969697,372.8167072450261,300.36388633139813
7.070707070707071,372.7676468720159,300.3690201765055
7.171717171717172,372.71861674735214,300.37415018131566
