Roughness;Roughness;
x;y;
[m];[m];
0;-9.0154526e-10;
1.9553839e-08;-6.1608623e-10;
3.9107677e-08;-4.5261681e-10;
5.8661516e-08;-2.6291878e-10;
7.8215355e-08;-5.683952e-11;
9.7769193e-08;-1.1432949e-10;
1.1732303e-07;-2.0449554e-10;
1.3687687e-07;-1.2876685e-10;
1.5643071e-07;-1.0117262e-10;
1.7598455e-07;-4.9926347e-12;
1.9553839e-07;-2.8078008e-11;
2.1509223e-07;-7.0643826e-11;
2.3464606e-07;-1.7089864e-10;
2.541999e-07;-3.659999e-10;
2.7375374e-07;-4.1369058e-10;
2.9330758e-07;-4.6382102e-10;
3.1286142e-07;-4.3414918e-10;
3.3241526e-07;-4.5791762e-10;
3.519691e-07;-4.2310312e-10;
3.7152293e-07;-2.0530488e-10;
3.9107677e-07;-5.3087758e-11;
4.1063061e-07;-3.8185621e-11;
4.3018445e-07;-2.2928949e-11;
4.4973829e-07;-1.037745e-10;
4.6929213e-07;-3.2490691e-11;
4.8884597e-07;1.6489404e-10;
5.0839981e-07;3.8818649e-10;
5.2795364e-07;5.0014406e-10;
5.4750748e-07;6.7667264e-10;
5.6706132e-07;7.2242634e-10;
5.8661516e-07;7.8428849e-10;
6.06169e-07;9.3678294e-10;
6.2572284e-07;9.0998524e-10;
6.4527668e-07;8.5827494e-10;
6.6483051e-07;7.8138615e-10;
6.8438435e-07;6.9810078e-10;
7.0393819e-07;6.4033487e-10;
7.2349203e-07;5.7105199e-10;
7.4304587e-07;6.7855747e-10;
7.6259971e-07;5.8623633e-10;
7.8215355e-07;3.6937361e-10;
8.0170739e-07;2.7886965e-10;
8.2126122e-07;2.8247982e-10;
8.4081506e-07;2.6036192e-10;
8.603689e-07;2.0507948e-10;
8.7992274e-07;2.3090852e-11;
8.9947658e-07;-1.1239377e-10;
9.1903042e-07;-2.1669757e-10;
9.3858426e-07;-1.965596e-10;
9.581381e-07;-2.1530685e-10;
9.7769193e-07;-1.9614704e-10;
9.9724577e-07;-2.8771379e-10;
1.0167996e-06;-3.7038233e-10;
1.0363534e-06;-3.2822975e-10;
1.0559073e-06;-2.4220449e-10;
1.0754611e-06;-1.2854052e-10;
1.095015e-06;-7.1033292e-11;
1.1145688e-06;-2.1365581e-10;
1.1341226e-06;-1.4384764e-10;
1.1536765e-06;3.187402e-11;
1.1732303e-06;-4.2344637e-11;
1.1927842e-06;-3.4914849e-11;
1.212338e-06;3.1512349e-11;
1.2318918e-06;6.5992708e-14;
1.2514457e-06;-5.2923566e-11;
1.2709995e-06;3.723797e-11;
1.2905534e-06;-9.2676517e-11;
1.3101072e-06;-7.8224005e-11;
1.329661e-06;7.1224419e-11;
1.3492149e-06;3.42382e-10;
1.3687687e-06;3.0576487e-10;
