Roughness;Roughness;
x;y;
[m];[m];
0;-6.0948433e-10;
3.9088621e-08;-6.2022752e-10;
7.8177243e-08;-4.9310979e-10;
1.1726586e-07;-5.0145763e-10;
1.5635449e-07;-5.0932514e-10;
1.9544311e-07;-4.2875932e-10;
2.3453173e-07;-4.7028323e-10;
2.7362035e-07;-4.3062498e-10;
3.1270897e-07;-3.7676128e-10;
3.5179759e-07;-3.575465e-10;
3.9088621e-07;-2.800174e-10;
4.2997484e-07;-1.4722603e-10;
4.6906346e-07;-1.7610642e-10;
5.0815208e-07;-4.0466093e-11;
5.472407e-07;-7.8486424e-11;
5.8632932e-07;-6.433631e-11;
6.2541794e-07;-2.0404839e-11;
6.6450657e-07;-1.8960575e-11;
7.0359519e-07;-7.4974652e-11;
7.4268381e-07;-9.7771478e-11;
7.8177243e-07;-5.0994265e-11;
8.2086105e-07;6.4129729e-11;
8.5994967e-07;5.7824906e-11;
8.9903829e-07;1.4683931e-11;
9.3812692e-07;2.0256772e-11;
9.7721554e-07;1.2248751e-10;
1.0163042e-06;2.0048745e-10;
1.0553928e-06;1.3131567e-10;
1.0944814e-06;2.440114e-10;
1.13357e-06;4.757376e-10;
1.1726586e-06;4.9685627e-10;
1.2117473e-06;4.1976299e-10;
1.2508359e-06;5.0667217e-10;
1.2899245e-06;5.2301834e-10;
1.3290131e-06;4.1110553e-10;
1.3681018e-06;4.7664402e-10;
1.4071904e-06;6.0137713e-10;
1.446279e-06;5.1853202e-10;
1.4853676e-06;6.6127028e-10;
1.5244562e-06;4.0068608e-10;
1.5635449e-06;4.1501463e-10;
1.6026335e-06;3.3085783e-10;
1.6417221e-06;4.0667979e-10;
1.6808107e-06;2.6295108e-10;
1.7198993e-06;1.1064134e-10;
1.758988e-06;3.9215057e-10;
1.7980766e-06;1.1758844e-10;
1.8371652e-06;1.2376411e-10;
1.8762538e-06;1.1185291e-10;
1.9153425e-06;-1.1876582e-10;
1.9544311e-06;-9.3859228e-11;
1.9935197e-06;-8.2261208e-11;
2.0326083e-06;-1.3388277e-10;
2.0716969e-06;-1.0315803e-10;
2.1107856e-06;-1.2281691e-10;
2.1498742e-06;-1.0104365e-10;
2.1889628e-06;-3.0668224e-10;
2.2280514e-06;-3.5211342e-10;
2.26714e-06;-3.7636815e-10;
2.3062287e-06;-3.8366592e-10;
2.3453173e-06;-3.3230577e-10;
2.3844059e-06;-3.7143893e-10;
2.4234945e-06;-3.0733468e-10;
2.4625832e-06;-2.7154709e-10;
2.5016718e-06;-4.0079118e-10;
2.5407604e-06;-4.2702676e-10;
2.579849e-06;-3.3031231e-10;
2.6189376e-06;-3.6423156e-10;
2.6580263e-06;-4.803419e-10;
2.6971149e-06;-4.8227609e-10;
2.7362035e-06;-3.9006211e-10;
