variable,value,stderr,label,temperature
step_x0,-0.001300016059172427,0.0,flake13,60
step_sigma,0.0006,0.0,flake13,60
osc1_amplitude,3.4179453876436806e-6,6.531597264860115e-7,flake13,60
osc1_frequency,47.3,0.0,flake13,60
osc1_decay,0.41871038442370434,0.13536540502344047,flake13,60
osc1_phase,-1.7486293493602012,0.12452591686528397,flake13,60
osc1_x0,-0.001300016059172427,0.0,flake13,60
osc2_amplitude,0.0001685035240834238,1.2351460914615292e-6,flake13,60
osc2_frequency,77.21099906509566,0.015090187277564502,flake13,60
osc2_decay,0.10470651861280239,0.0010585733767911618,flake13,60
osc2_phase,0.2570490185564682,0.007069273646551279,flake13,60
osc2_x0,-0.001300016059172427,0.0,flake13,60
osc32_ratio,0.07192164759492152,0.015662874142180875,flake13,60
osc3_amplitude,0.000012119051077630376,2.6460326758039954e-6,flake13,60
osc3_frequency,231.63299719528698,0.04527056189475196,flake13,60
osc3_decay,0.024739473854280318,0.00730087494880311,flake13,60
osc3_phase,0.2570490185564682,0.007069273645469593,flake13,60
osc3_x0,-0.001300016059172427,0.0,flake13,60
exp_fast_amplitude,-0.00014271007939768205,1.1885406724369801e-6,flake13,60
exp_fast_decay,0.07050785836052663,0.0013043354138494196,flake13,60
exp_fast_x0,-0.001300016059172427,0.0,flake13,60
exp_slow_amplitude,-0.0006573596526243706,9.536009671534587e-7,flake13,60
exp_slow_decay,2.7807468175611656,0.02210257226639336,flake13,60
exp_slow_x0,-0.001300016059172427,0.0,flake13,60
step_x0,-0.001300016059172427,0.0,flake19,60
step_sigma,0.0006,0.0,flake19,60
osc1_amplitude,2.9736294937747335e-6,6.366868917369133e-7,flake19,60
osc1_frequency,47.3,0.0,flake19,60
osc1_decay,0.41939413706180273,0.15224916399153135,flake19,60
osc1_phase,-1.606230286794719,0.13984277349998292,flake19,60
osc1_x0,-0.001300016059172427,0.0,flake19,60
osc2_amplitude,0.0001750539650651117,9.603731251090267e-7,flake19,60
osc2_frequency,77.88586283638264,0.007515127104681215,flake19,60
osc2_decay,0.16046287866001416,0.0012287873210966127,flake19,60
osc2_phase,0.13404605558720945,0.005369332554323434,flake19,60
osc2_x0,-0.001300016059172427,0.0,flake19,60
osc32_ratio,0.0770567283554742,0.016598340219798592,flake19,60
osc3_amplitude,0.000013489085833570981,2.911024128092949e-6,flake19,60
osc3_frequency,233.65758850914793,0.02254538135742434,flake19,60
osc3_decay,0.020456905818536163,0.005900371009640035,flake19,60
osc3_phase,0.13404605558720945,0.005369332545884469,flake19,60
osc3_x0,-0.001300016059172427,0.0,flake19,60
exp_fast_amplitude,-0.00013480024128632122,1.1903258843603026e-6,flake19,60
exp_fast_decay,0.05975184705221763,0.0011071160681743841,flake19,60
exp_fast_x0,-0.001300016059172427,0.0,flake19,60
exp_slow_amplitude,-0.0006852306402828562,7.616051812674195e-7,flake19,60
exp_slow_decay,3.4465274633468668,0.02696350993990476,flake19,60
exp_slow_x0,-0.001300016059172427,0.0,flake19,60
step_x0,-0.001300016059172427,0.0,flake17,60
step_sigma,0.0006,0.0,flake17,60
osc1_amplitude,0.000012330955112545784,7.051296242785716e-7,flake17,60
osc1_frequency,47.3,0.0,flake17,60
osc1_decay,0.3732533244656066,0.03446275417590474,flake17,60
osc1_phase,-1.6166339787362465,0.03803390101900174,flake17,60
osc1_x0,-0.001300016059172427,0.0,flake17,60
osc2_amplitude,0.00017418352895898456,2.12241623401394e-6,flake17,60
