2theta,intensity,temperature,ID
10.0,3.0631234456704634e-7,60,FM308_membrane
10.02,5.513622202206834e-7,60,FM308_membrane
10.04,3.675748134804556e-7,60,FM308_membrane
10.06,6.126246891340927e-7,60,FM308_membrane
10.08,6.738871580475019e-7,60,FM308_membrane
10.1,6.126246891340927e-7,60,FM308_membrane
10.12,4.900997513072741e-7,60,FM308_membrane
10.14,3.0631234456704634e-7,60,FM308_membrane
10.16,4.900997513072741e-7,60,FM308_membrane
10.18,4.288372823938649e-7,60,FM308_membrane
10.2,6.126246891340927e-7,60,FM308_membrane
10.22,1.2252493782681854e-7,60,FM308_membrane
10.24,7.964120958743205e-7,60,FM308_membrane
10.26,3.675748134804556e-7,60,FM308_membrane
10.28,3.0631234456704634e-7,60,FM308_membrane
10.3,4.288372823938649e-7,60,FM308_membrane
10.32,6.126246891340927e-7,60,FM308_membrane
10.34,4.288372823938649e-7,60,FM308_membrane
10.36,2.4504987565363707e-7,60,FM308_membrane
10.38,1.837874067402278e-7,60,FM308_membrane
10.4,4.900997513072741e-7,60,FM308_membrane
10.42,6.126246891340927e-8,60,FM308_membrane
10.44,2.4504987565363707e-7,60,FM308_membrane
10.46,5.513622202206834e-7,60,FM308_membrane
10.48,1.837874067402278e-7,60,FM308_membrane
10.5,4.900997513072741e-7,60,FM308_membrane
10.52,6.126246891340927e-7,60,FM308_membrane
10.54,4.288372823938649e-7,60,FM308_membrane
10.56,5.513622202206834e-7,60,FM308_membrane
10.58,4.288372823938649e-7,60,FM308_membrane
10.6,3.675748134804556e-7,60,FM308_membrane
10.62,1.2252493782681854e-7,60,FM308_membrane
10.64,3.0631234456704634e-7,60,FM308_membrane
10.66,6.126246891340927e-7,60,FM308_membrane
10.68,1.837874067402278e-7,60,FM308_membrane
10.7,7.351496269609112e-7,60,FM308_membrane
10.72,4.288372823938649e-7,60,FM308_membrane
10.74,5.513622202206834e-7,60,FM308_membrane
10.76,1.837874067402278e-7,60,FM308_membrane
10.78,6.126246891340927e-7,60,FM308_membrane
10.8,2.4504987565363707e-7,60,FM308_membrane
10.82,4.900997513072741e-7,60,FM308_membrane
10.84,2.4504987565363707e-7,60,FM308_membrane
10.86,2.4504987565363707e-7,60,FM308_membrane
10.88,3.675748134804556e-7,60,FM308_membrane
10.9,3.0631234456704634e-7,60,FM308_membrane
10.92,4.288372823938649e-7,60,FM308_membrane
10.94,4.288372823938649e-7,60,FM308_membrane
10.96,3.0631234456704634e-7,60,FM308_membrane
10.98,4.900997513072741e-7,60,FM308_membrane
11.0,4.900997513072741e-7,60,FM308_membrane
