filename,power,time,dR/R,residual,best_fit
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.669205047179749,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.602492228140179,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.53577940910042,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.46906659006085,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.4023537710212803,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.335640951981521,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.268928132941951,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.2022153139023812,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.1355024948626222,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.0687896758230524,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-3.0020768567834826,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.935364037743723,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.8686512187041533,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.801938399664584,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.735225580625014,-0.0,0.0,-0.0
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.6685127615852546,-0.0,-1.4248050398514787e-19,-1.4248050398514787e-19
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.601799942545685,-0.0,-5.646657043539044e-19,-5.646657043539044e-19
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.535087123506115,-0.0,-1.2584515558160212e-18,-1.2584515558160212e-18
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.468374304466356,-0.0,-3.1847892827051112e-18,-3.1847892827051112e-18
/Users/monochromatti/surfdrive/Measurements/2023/acoustic_resonators/src/acoustic_resonators/stroboscopy/raw_data/20.11.19/12h13m58s_long scan on flake (pump V 0.68 mW ND 0.4 640nm) A+B in Stanford___294.910-293.136_.txt,0.68,-2.401661485426786,-0.0,-8.08854111946025e-18,-8.08854111946025e-18
