2theta,intensity,temperature,number,best_fit
0.205,0.5382314904623342,25.0,16,0.42246597526524027
0.215,0.5375848690591658,25.0,16,0.442215969805186
0.22499999999999998,0.548011639185257,25.0,16,0.46187711645311647
0.235,0.5456676365987714,25.0,16,0.4814427211213923
0.245,0.553831231813773,25.0,16,0.5009094162841862
0.255,0.564096346589072,25.0,16,0.5202735110939847
0.265,0.5906886517943744,25.0,16,0.5395309572357136
0.275,0.5809893307468477,25.0,16,0.5586773101278246
0.285,0.6123504688005172,25.0,16,0.5777076843066706
0.295,0.6155835758163595,25.0,16,0.5966167019584124
0.305,0.6365179437439379,25.0,16,0.6153984333398492
0.315,0.6618170061429032,25.0,16,0.6340463275508444
0.32499999999999996,0.6734561913999353,25.0,16,0.6525531317701471
0.33499999999999996,0.7018267054639508,25.0,16,0.670910796621852
0.345,0.744342062722276,25.0,16,0.6891103647725146
0.355,0.7349660523763335,25.0,16,0.7071418391297652
0.365,0.7697219527966375,25.0,16,0.7249940260686217
0.375,0.7871807306821855,25.0,16,0.7426543478775928
0.385,0.8034270934367926,25.0,16,0.7601086169900013
0.395,0.8258163595215001,25.0,16,0.7773407624014973
0.405,0.8494180407371484,25.0,16,0.7943324957651028
0.415,0.881021661817006,25.0,16,0.8110629007010871
0.425,0.8853055286129969,25.0,16,0.8275079234219351
0.435,0.90122858066602,25.0,16,0.8436397352012652
0.44499999999999995,0.9089880375040412,25.0,16,0.8594259265260555
0.45499999999999996,0.9314581312641448,25.0,16,0.8748284774532255
0.46499999999999997,0.9432589718719688,25.0,16,0.8898024263800669
0.475,0.9512609117361784,25.0,16,0.9042941263568841
0.485,0.9611218881344971,25.0,16,0.918238928050948
0.495,0.9971710313611379,25.0,16,0.9315580511862145
0.505,0.9938570966698996,25.0,16,0.9441542839645622
0.515,0.9949886841254445,25.0,16,0.9559059511072714
0.525,0.9939379243452958,25.0,16,0.9666582579154169
0.535,0.9999999999999999,25.0,16,0.9762105399033368
0.545,0.9831878435176205,25.0,16,0.9842969057123373
0.555,0.9842386032977691,25.0,16,0.9905557966215546
0.565,0.9828645328160361,25.0,16,0.9944800863783346
0.575,0.9671839637892012,25.0,16,0.9953311333509279
0.585,0.9287908179760749,25.0,16,0.9919817354668088
0.595,0.8922567086970579,25.0,16,0.9826087487173536
0.605,0.8622696411251212,25.0,16,0.9640493622317408
0.615,0.8233915292596184,25.0,16,0.9304665619926615
0.625,0.7499999999999999,25.0,16,0.8718697016129097
0.635,0.6542192046556741,25.0,16,0.7803749653329197
0.645,0.5774329130294212,25.0,16,0.6644045823156711
0.655,0.48617846750727445,25.0,16,0.5411178372775787
0.665,0.4194148076301325,25.0,16,0.4300198567657564
0.675,0.35531846104106046,25.0,16,0.3454294265231865
0.6849999999999999,0.30997413514387323,25.0,16,0.28942940410576895
0.695,0.283381829938571,25.0,16,0.2546831688655747
0.705,0.25751697381183314,25.0,16,0.23174124695330225
0.715,0.24240219851277073,25.0,16,0.2135468082541823
0.725,0.21314258001939862,25.0,16,0.1962942282649864
0.735,0.20012932428063365,25.0,16,0.1786454684458071
0.745,0.18469123827998704,25.0,16,0.1607107662178911
0.755,0.16036210798577433,25.0,16,0.14325477214831472
0.765,0.14904623343032652,25.0,16,0.12717038874064684
0.775,0.13328483672809568,25.0,16,0.11316777689739888
0.7849999999999999,0.12019075331393467,25.0,16,0.10162774486403328
0.7949999999999999,0.1037827352085354,25.0,16,0.09257796975410953
0.8049999999999999,0.10119624959586161,25.0,16,0.08575207507559204
0.815,0.08575816359521499,25.0,16,0.0806919635154631
0.825,0.08414161008729387,25.0,16,0.07685897303855571
0.835,0.07735208535402521,25.0,16,0.073729624578931
0.845,0.07242159715486582,25.0,16,0.07086354364495652
0.855,0.06668283220174587,25.0,16,0.06794102968924562
0.865,0.06595538312318136,25.0,16,0.06477401455662753
0.875,0.06288393145813126,25.0,16,0.061296947203036
0.885,0.06393469123827998,25.0,16,0.05754456303335075
0.895,0.05746847720659553,25.0,16,0.05362271554193056
0.905,0.05754930488199159,25.0,16,0.049677276544350724
0.9149999999999999,0.0533462657613967,25.0,16,0.045864939942278665
0.9249999999999999,0.04873908826382153,25.0,16,0.04232869318315284
0.9349999999999999,0.04760750080827675,25.0,16,0.03917972461909857
0.945,0.04340446168768186,25.0,16,0.03648658158918171
0.955,0.03475590042030391,25.0,16,0.03427149896461884
0.965,0.03734238603297769,25.0,16,0.03251304419329827
0.975,0.032411897833818294,25.0,16,0.031153651163190365
